型號,導程,行程,轉速
ETH13,32,450,3600
ETH13,32,500,3600
ETH13,32,550,3600
ETH13,32,600,3600
ETH13,32,650,3600
ETH13,32,700,3200
ETH13,32,750,3000
ETH13,32,800,2700
ETH13,32,850,2400
ETH13,32,900,2100
ETH13,32,950,1800
ETH13,32,1000,1500
ETH13,32,1050,1200
ETH14,5,50,3600
ETH14,5,100,3600
ETH14,5,150,3600
ETH14,5,200,3600
ETH14,5,250,3600
ETH14,5,300,3600
ETH14,5,350,3600
ETH14,5,400,3600
ETH14,5,450,3600
ETH14,5,500,3600
ETH14,5,550,3600
ETH14,5,600,3600
ETH14,5,650,3300
ETH14,5,700,3000
ETH14,5,750,3000
ETH14,5,800,2700
ETH14,5,850,2400
ETH14,5,900,2100
ETH14,5,950,1800
ETH14,5,1000,1500
ETH14,5,1050,1200
ETH14,10,50,3600
ETH14,10,100,3600
ETH14,10,150,3600
ETH14,10,200,3600
ETH14,10,250,3600
ETH14,10,300,3600
ETH14,10,350,3600
ETH14,10,400,3600
ETH14,10,450,3600
ETH14,10,500,3600
ETH14,10,550,3600
ETH14,10,600,3600
ETH14,10,650,3300
ETH14,10,700,3000
ETH14,10,750,3000
ETH14,10,800,2700
ETH14,10,850,2400
ETH14,10,900,2100
ETH14,10,950,1800
ETH14,10,1000,1500
ETH14,10,1050,1200
ETH14,20,50,3600
ETH14,20,100,3600
ETH14,20,150,3600
ETH14,20,200,3600
ETH14,20,250,3600
ETH14,20,300,3600
ETH14,20,350,3600
ETH14,20,400,3600
ETH14,20,450,3600
ETH14,20,500,3600
ETH14,20,550,3600
ETH14,20,600,3600
ETH14,20,650,3300
ETH14,20,700,3000
ETH14,20,750,3000
ETH14,20,800,2700
ETH14,20,850,2400
ETH14,20,900,2100
ETH14,20,950,1800
ETH14,20,1000,1500
ETH14,20,1050,1200
ETH14,32,50,3600
ETH14,32,100,3600
ETH14,32,150,3600
ETH14,32,200,3600
ETH14,32,250,3600
ETH14,32,300,3600
ETH14,32,350,3600
ETH14,32,400,3600
ETH14,32,450,3600
ETH14,32,500,3600
ETH14,32,550,3600
ETH14,32,600,3600
ETH14,32,650,3300
ETH14,32,700,3000
ETH14,32,750,3000
ETH14,32,800,2700
ETH14,32,850,2400
ETH14,32,900,2100
ETH14,32,950,1800
ETH14,32,1000,1500
ETH14,32,1050,1200
ETH17,5,50,3600
ETH17,5,100,3600
ETH17,5,150,3600
ETH17,5,200,3600
ETH17,5,250,3600
ETH17,5,300,3600
ETH17,5,350,3600
ETH17,5,400,3600
ETH17,5,450,3600
ETH17,5,500,3600
ETH17,5,550,3600
ETH17,5,600,3600
ETH17,5,650,3600
ETH17,5,700,3600
ETH17,5,750,3600
ETH17,5,800,3200
ETH17,5,850,3000
ETH17,5,900,2700
ETH17,5,950,2700
ETH17,5,1000,2400
ETH17,5,1050,2400
ETH17,5,1100,2100
ETH17,5,1150,2100
ETH17,5,1200,1800
ETH17,5,1250,1800
ETH17,10,50,3600
ETH17,10,100,3600
ETH17,10,150,3600
ETH17,10,200,3600
ETH17,10,250,3600
ETH17,10,300,3600
ETH17,10,350,3600
ETH17,10,400,3600
ETH17,10,450,3600
ETH17,10,500,3600
ETH17,10,550,3600
ETH17,10,600,3600
ETH17,10,650,3600
ETH17,10,700,3600
ETH17,10,750,3600
ETH17,10,800,3200
ETH17,10,850,3000
ETH17,10,900,2700
ETH17,10,950,2700
ETH17,10,1000,2400
ETH17,10,1050,2400
ETH17,10,1100,2100
ETH17,10,1150,2100
ETH17,10,1200,1800
ETH17,10,1250,1800
ETH17,20,50,3600
ETH17,20,100,3600
ETH17,20,150,3600
ETH17,20,200,3600
ETH17,20,250,3600
ETH17,20,300,3600
ETH17,20,350,3600
ETH17,20,400,3600
ETH17,20,450,3600
ETH17,20,500,3600
ETH17,20,550,3600
ETH17,20,600,3600
ETH17,20,650,3600
ETH17,20,700,3600
ETH17,20,750,3600
ETH17,20,800,3200
ETH17,20,850,3000
ETH17,20,900,2700
ETH17,20,950,2700
ETH17,20,1000,2400
ETH17,20,1050,2400
ETH17,20,1100,2100
ETH17,20,1150,2100
ETH17,20,1200,1800
ETH17,20,1250,1800
ETH17,40,50,3600
ETH17,40,100,3600
ETH17,40,150,3600
ETH17,40,200,3600
ETH17,40,250,3600
ETH17,40,300,3600
ETH17,40,350,3600
ETH17,40,400,3600
ETH17,40,450,3600
ETH17,40,500,3600
ETH17,40,550,3600
ETH17,40,600,3600
ETH17,40,650,3600
ETH17,40,700,3600
ETH17,40,750,3600
ETH17,40,800,3200
ETH17,40,850,3000
ETH17,40,900,2700
ETH17,40,950,2700
ETH17,40,1000,2400
ETH17,40,1050,2400
ETH17,40,1100,2100
ETH17,40,1150,2100
ETH17,40,1200,1800
ETH17,40,1250,1800
ETH22,5,50,3600
ETH22,5,100,3600
ETH22,5,150,3600
ETH22,5,200,3600
ETH22,5,250,3600
ETH22,5,300,3600
ETH22,5,350,3600
ETH22,5,400,3600
ETH22,5,450,3600
ETH22,5,500,3600
ETH22,5,550,3600
ETH22,5,600,3600
ETH22,5,650,3600
ETH22,5,700,3600
ETH22,5,750,3600
ETH22,5,800,3300
ETH22,5,850,3000
ETH22,5,900,3000
ETH22,5,950,2700
ETH22,5,1000,2700
ETH22,5,1050,2400
ETH22,5,1100,2400
ETH22,5,1150,2100
ETH22,5,1200,2100
ETH22,5,1250,1800
ETH22,5,1300,1800
ETH22,5,1350,1500
ETH22,5,1400,1500
ETH22,5,1450,1200
ETH22,5,1500,1200
ETH22,10,50,3600
ETH22,10,100,3600
ETH22,10,150,3600
ETH22,10,200,3600
ETH22,10,250,3600
ETH22,10,300,3600
ETH22,10,350,3600
ETH22,10,400,3600
ETH22,10,450,3600
ETH22,10,500,3600
ETH22,10,550,3600
ETH22,10,600,3600
ETH22,10,650,3600
ETH22,10,700,3600
ETH22,10,750,3600
ETH22,10,800,3300
ETH22,10,850,3000
ETH22,10,900,3000
ETH22,10,950,2700
ETH22,10,1000,2700
ETH22,10,1050,2400
ETH22,10,1100,2400
ETH22,10,1150,2100
ETH22,10,1200,2100
ETH22,10,1250,1800
ETH22,10,1300,1800
ETH22,10,1350,1500
ETH22,10,1400,1500
ETH22,10,1450,1200
ETH22,10,1500,1200
ETH22,25,50,3600
ETH22,25,100,3600
ETH22,25,150,3600
ETH22,25,200,3600
ETH22,25,250,3600
ETH22,25,300,3600
ETH22,25,350,3600
ETH22,25,400,3600
ETH22,25,450,3600
ETH22,25,500,3600
ETH22,25,550,3600
ETH22,25,600,3600
ETH22,25,650,3600
ETH22,25,700,3600
ETH22,25,750,3600
ETH22,25,800,3300
ETH22,25,850,3000
ETH22,25,900,3000
ETH22,25,950,2700
ETH22,25,1000,2700
ETH22,25,1050,2400
ETH22,25,1100,2400
ETH22,25,1150,2100
ETH22,25,1200,2100
ETH22,25,1250,1800
ETH22,25,1300,1800
ETH22,25,1350,1500
ETH22,25,1400,1500
ETH22,25,1450,1200
ETH22,25,1500,1200
ETH22,40,50,3600
ETH22,40,100,3600
ETH22,40,150,3600
ETH22,40,200,3600
ETH22,40,250,3600
ETH22,40,300,3600
ETH22,40,350,3600
ETH22,40,400,3600
ETH22,40,450,3600
ETH22,40,500,3600
ETH22,40,550,3600
ETH22,40,600,3600
ETH22,40,650,3300
ETH22,40,700,3000
ETH22,40,750,3000
ETH22,40,800,3000
ETH22,40,850,3000
ETH22,40,900,2700
ETH22,40,950,2700
ETH22,40,1000,2400
ETH22,40,1050,2400
ETH22,40,1100,2100
ETH22,40,1150,2100
ETH22,40,1200,1800
ETH22,40,1250,1800
ETH22,40,1300,1500
ETH22,40,1350,1500
ETH22,40,1400,1200
ETH22,40,1450,1200
ETH22,40,1500,900
ETH17M,5,800,3600
ETH17M,5,850,3600
ETH17M,5,900,3600
ETH17M,5,950,3600
ETH17M,5,1000,3600
ETH17M,5,1050,3600
ETH17M,5,1100,3600
ETH17M,5,1150,3600
ETH17M,5,1200,3600
ETH17M,5,1250,3600
ETH17M,5,1300,3600
ETH17M,5,1350,3400
ETH17M,5,1400,3200
ETH17M,5,1450,3000
ETH17M,5,1500,2800
ETH17M,5,1550,2600
ETH17M,5,1600,2400
ETH17M,5,1650,2200
ETH17M,5,1700,2200
ETH17M,5,1750,2100
ETH17M,5,1800,2100
ETH17M,5,1850,1800
ETH17M,5,1900,1800
ETH17M,5,1950,1800
ETH17M,5,2000,1800
ETH17M,5,2050,1500
ETH17M,5,2100,1500
ETH17M,5,2150,1500
ETH17M,5,2200,1500
ETH17M,10,800,3600
ETH17M,10,850,3600
ETH17M,10,900,3600
ETH17M,10,950,3600
ETH17M,10,1000,3600
ETH17M,10,1050,3600
ETH17M,10,1100,3600
ETH17M,10,1150,3600
ETH17M,10,1200,3600
ETH17M,10,1250,3600
ETH17M,10,1300,3600
ETH17M,10,1350,3400
ETH17M,10,1400,3200
ETH17M,10,1450,3000
ETH17M,10,1500,2800
ETH17M,10,1550,2600
ETH17M,10,1600,2400
ETH17M,10,1650,2200
ETH17M,10,1700,2200
ETH17M,10,1750,2100
ETH17M,10,1800,2100
ETH17M,10,1850,1800
ETH17M,10,1900,1800
ETH17M,10,1950,1800
ETH17M,10,2000,1800
ETH17M,10,2050,1500
ETH17M,10,2100,1500
ETH17M,10,2150,1500
ETH17M,10,2200,1500
ETH17M,20,800,3600
ETH17M,20,850,3600
ETH17M,20,900,3600
ETH17M,20,950,3600
ETH17M,20,1000,3600
ETH17M,20,1050,3600
ETH17M,20,1100,3600
ETH17M,20,1150,3600
ETH17M,20,1200,3600
ETH17M,20,1250,3600
ETH17M,20,1300,3600
ETH17M,20,1350,3400
ETH17M,20,1400,3200
ETH17M,20,1450,3000
ETH17M,20,1500,2800
ETH17M,20,1550,2600
ETH17M,20,1600,2400
ETH17M,20,1650,2200
ETH17M,20,1700,2200
ETH17M,20,1750,2100
ETH17M,20,1800,2100
ETH17M,20,1850,1800
ETH17M,20,1900,1800
ETH17M,20,1950,1800
ETH17M,20,2000,1800
ETH17M,20,2050,1500
ETH17M,20,2100,1500
ETH17M,20,2150,1500
ETH17M,20,2200,1500
ETH17M,32,800,3600
ETH17M,32,850,3600
ETH17M,32,900,3600
ETH17M,32,950,3600
ETH17M,32,1000,3600
ETH17M,32,1050,3600
ETH17M,32,1100,3600
ETH17M,32,1150,3600
ETH17M,32,1200,3600
ETH17M,32,1250,3600
ETH17M,32,1300,3600
ETH17M,32,1350,3400
ETH17M,32,1400,3200
ETH17M,32,1450,3000
ETH17M,32,1500,2800
ETH17M,32,1550,2600
ETH17M,32,1600,2400
ETH17M,32,1650,2200
ETH17M,32,1700,2200
ETH17M,32,1750,2100
ETH17M,32,1800,2100
ETH17M,32,1850,1800
ETH17M,32,1900,1800
ETH17M,32,1950,1800
ETH17M,32,2000,1800
ETH17M,32,2050,1500
ETH17M,32,2100,1500
ETH17M,32,2150,1500
ETH17M,32,2200,1500
ETH22M,5,850,3600
ETH22M,5,900,3600
ETH22M,5,950,3600
ETH22M,5,1000,3600
ETH22M,5,1050,3600
ETH22M,5,1100,3600
ETH22M,5,1150,3600
ETH22M,5,1200,3600
ETH22M,5,1250,3600
ETH22M,5,1300,3600
ETH22M,5,1350,3600
ETH22M,5,1400,3600
ETH22M,5,1450,3600
ETH22M,5,1500,3600
ETH22M,5,1550,3400
ETH22M,5,1600,3200
ETH22M,5,1650,3000
ETH22M,5,1700,2800
ETH22M,5,1750,2700
ETH22M,5,1800,2600
ETH22M,5,1850,2500
ETH22M,5,1900,2400
ETH22M,5,1950,2400
ETH22M,5,2000,2400
ETH22M,5,2050,2400
ETH22M,5,2100,2100
ETH22M,5,2150,2100
ETH22M,5,2200,2100
ETH22M,5,2250,2100
ETH22M,5,2300,1800
ETH22M,5,2350,1800
ETH22M,5,2400,1800
ETH22M,10,850,3600
ETH22M,10,900,3600
ETH22M,10,950,3600
ETH22M,10,1000,3600
ETH22M,10,1050,3600
ETH22M,10,1100,3600
ETH22M,10,1150,3600
ETH22M,10,1200,3600
ETH22M,10,1250,3600
ETH22M,10,1300,3600
ETH22M,10,1350,3600
ETH22M,10,1400,3600
ETH22M,10,1450,3600
ETH22M,10,1500,3600
ETH22M,10,1550,3400
ETH22M,10,1600,3200
ETH22M,10,1650,3000
ETH22M,10,1700,2800
ETH22M,10,1750,2700
ETH22M,10,1800,2600
ETH22M,10,1850,2500
ETH22M,10,1900,2400
ETH22M,10,1950,2400
ETH22M,10,2000,2400
ETH22M,10,2050,2400
ETH22M,10,2100,2100
ETH22M,10,2150,2100
ETH22M,10,2200,2100
ETH22M,10,2250,2100
ETH22M,10,2300,1800
ETH22M,10,2350,1800
ETH22M,10,2400,1800
ETH22M,20,850,3600
ETH22M,20,900,3600
ETH22M,20,950,3600
ETH22M,20,1000,3600
ETH22M,20,1050,3600
ETH22M,20,1100,3600
ETH22M,20,1150,3600
ETH22M,20,1200,3600
ETH22M,20,1250,3600
ETH22M,20,1300,3600
ETH22M,20,1350,3600
ETH22M,20,1400,3600
ETH22M,20,1450,3600
ETH22M,20,1500,3600
ETH22M,20,1550,3400
ETH22M,20,1600,3200
ETH22M,20,1650,3000
ETH22M,20,1700,2800
ETH22M,20,1750,2700
ETH22M,20,1800,2600
ETH22M,20,1850,2500
ETH22M,20,1900,2400
ETH22M,20,1950,2400
ETH22M,20,2000,2400
ETH22M,20,2050,2400
ETH22M,20,2100,2100
ETH22M,20,2150,2100
ETH22M,20,2200,2100
ETH22M,20,2250,2100
ETH22M,20,2300,1800
ETH22M,20,2350,1800
ETH22M,20,2400,1800
ETH22M,40,850,3600
ETH22M,40,900,3600
ETH22M,40,950,3600
ETH22M,40,1000,3600
ETH22M,40,1050,3600
ETH22M,40,1100,3600
ETH22M,40,1150,3600
ETH22M,40,1200,3600
ETH22M,40,1250,3600
ETH22M,40,1300,3600
ETH22M,40,1350,3600
ETH22M,40,1400,3600
ETH22M,40,1450,3600
ETH22M,40,1500,3600
ETH22M,40,1550,3400
ETH22M,40,1600,3200
ETH22M,40,1650,3000
ETH22M,40,1700,2800
ETH22M,40,1750,2700
ETH22M,40,1800,2600
ETH22M,40,1850,2500
ETH22M,40,1900,2400
ETH22M,40,1950,2400
ETH22M,40,2000,2400
ETH22M,40,2050,2400
ETH22M,40,2100,2100
ETH22M,40,2150,2100
ETH22M,40,2200,2100
ETH22M,40,2250,2100
ETH22M,40,2300,1800
ETH22M,40,2350,1800
ETH22M,40,2400,1800
Y50,5,50,3000
Y50,5,100,3000
Y50,5,150,3000
Y50,5,200,3000
Y50,5,250,2400
Y50,5,300,1800
Y50,10,50,3000
Y50,10,100,3000
Y50,10,150,3000
Y50,10,200,3000
Y50,10,250,2400
Y50,10,300,1800
Y50D,5,50,3000
Y50D,5,100,3000
Y50D,5,150,3000
Y50D,5,200,3000
Y50D,5,250,2400
Y50D,5,300,1800
Y50D,10,50,3000
Y50D,10,100,3000
Y50D,10,150,3000
Y50D,10,200,3000
Y50D,10,250,2400
Y50D,10,300,1800
Y50L,5,50,3000
Y50L,5,100,3000
Y50L,5,150,3000
Y50L,5,200,3000
Y50L,5,250,2400
Y50L,5,300,1800
Y50L,10,50,3000
Y50L,10,100,3000
Y50L,10,150,3000
Y50L,10,200,3000
Y50L,10,250,2400
Y50L,10,300,1800
Y65,5,50,3000
Y65,5,100,3000
Y65,5,150,3000
Y65,5,200,3000
Y65,5,250,3000
Y65,5,300,3000
Y65,5,350,2400
Y65,5,400,2400
Y65,5,450,1800
Y65,5,500,1800
Y65,10,50,3000
Y65,10,100,3000
Y65,10,150,3000
Y65,10,200,3000
Y65,10,250,3000
Y65,10,300,3000
Y65,10,350,2400
Y65,10,400,2400
Y65,10,450,1800
Y65,10,500,1800
Y65,16,50,3000
Y65,16,100,3000
Y65,16,150,3000
Y65,16,200,3000
Y65,16,250,3000
Y65,16,300,3000
Y65,16,350,2400
Y65,16,400,2400
Y65,16,450,1800
Y65,16,500,1800
Y65,20,50,3000
Y65,20,100,3000
Y65,20,150,3000
Y65,20,200,3000
Y65,20,250,3000
Y65,20,300,3000
Y65,20,350,2400
Y65,20,400,2400
Y65,20,450,1800
Y65,20,500,1800
Y65D,5,50,3000
Y65D,5,100,3000
Y65D,5,150,3000
Y65D,5,200,3000
Y65D,5,250,3000
Y65D,5,300,3000
Y65D,5,350,2400
Y65D,5,400,2400
Y65D,5,450,1800
Y65D,5,500,1800
Y65D,10,50,3000
Y65D,10,100,3000
Y65D,10,150,3000
Y65D,10,200,3000
Y65D,10,250,3000
Y65D,10,300,3000
Y65D,10,350,2400
Y65D,10,400,2400
Y65D,10,450,1800
Y65D,10,500,1800
Y65D,16,50,3000
Y65D,16,100,3000
Y65D,16,150,3000
Y65D,16,200,3000
Y65D,16,250,3000
Y65D,16,300,3000
Y65D,16,350,2400
Y65D,16,400,2400
Y65D,16,450,1800
Y65D,16,500,1800
Y65D,20,50,3000
Y65D,20,100,3000
Y65D,20,150,3000
Y65D,20,200,3000
Y65D,20,250,3000
Y65D,20,300,3000
Y65D,20,350,2400
Y65D,20,400,2400
Y65D,20,450,1800
Y65D,20,500,1800
Y65L,5,50,3000
Y65L,5,100,3000
Y65L,5,150,3000
Y65L,5,200,3000
Y65L,5,250,3000
Y65L,5,300,3000
Y65L,5,350,2400
Y65L,5,400,2400
Y65L,5,450,1800
Y65L,5,500,1800
Y65L,10,50,3000
Y65L,10,100,3000
Y65L,10,150,3000
Y65L,10,200,3000
Y65L,10,250,3000
Y65L,10,300,3000
Y65L,10,350,2400
Y65L,10,400,2400
Y65L,10,450,1800
Y65L,10,500,1800
Y65L,16,50,3000
Y65L,16,100,3000
Y65L,16,150,3000
Y65L,16,200,3000
Y65L,16,250,3000
Y65L,16,300,3000
Y65L,16,350,2400
Y65L,16,400,2400
Y65L,16,450,1800
Y65L,16,500,1800
Y65L,20,50,3000
Y65L,20,100,3000
Y65L,20,150,3000
Y65L,20,200,3000
Y65L,20,250,3000
Y65L,20,300,3000
Y65L,20,350,2400
Y65L,20,400,2400
Y65L,20,450,1800
Y65L,20,500,1800
ETB5,32,50,500
ETB5,32,100,500
ETB5,32,150,500
ETB5,32,200,500
ETB5,32,250,500
ETB5,32,300,500
ETB5,32,350,500
ETB5,32,400,500
ETB5,32,450,500
ETB5,32,500,500
ETB5,32,550,500
ETB5,32,600,500
ETB5,32,650,500
ETB5,32,700,500
ETB5,32,750,500
ETB5,32,800,500
ETB5,40,50,3600
ETB5,40,100,3600
ETB5,40,150,3600
ETB5,40,200,3600
ETB5,40,250,3600
ETB5,40,300,3600
ETB5,40,350,3600
ETB5,40,400,3600
ETB5,40,450,3600
ETB5,40,500,3600
ETB5,40,550,3600
ETB5,40,600,3600
ETB5,40,650,3600
ETB5,40,700,3600
ETB5,40,750,3600
ETB5,40,800,3600
ETB6,40,50,3600
ETB6,40,100,3600
ETB6,40,150,3600
ETB6,40,200,3600
ETB6,40,250,3600
ETB6,40,300,3600
ETB6,40,350,3600
ETB6,40,400,3600
ETB6,40,450,3600
ETB6,40,500,3600
ETB6,40,550,3600
ETB6,40,600,3600
ETB6,40,650,3600
ETB6,40,700,3600
ETB6,40,750,3600
ETB6,40,800,3600
ETB10,32,50,3600
ETB10,32,100,3600
ETB10,32,150,3600
ETB10,32,200,3600
ETB10,32,250,3600
ETB10,32,300,3600
ETB10,32,350,3600
ETB10,32,400,3600
ETB10,32,450,3600
ETB10,32,500,3600
ETB10,32,550,3600
ETB10,32,600,3600
ETB10,32,650,3600
ETB10,32,700,3600
ETB10,32,750,3600
ETB10,32,800,3600
ETB10,32,850,3600
ETB10,32,900,3600
ETB10,32,950,3600
ETB10,32,1000,3600
ETB10,32,1050,3600
ETB10,32,1100,3600
ETB10,32,1150,3600
ETB10,32,1200,3600
ETB10,32,1250,3600
ETB10,32,1300,3600
ETB10,32,1350,3600
ETB10,32,1400,3600
ETB10,32,1450,3600
ETB10,32,1500,3600
ETB10,32,1550,3600
ETB10,32,1600,3600
ETB10,32,1650,3600
ETB10,32,1700,3600
ETB10,32,1750,3600
ETB10,32,1800,3600
ETB10,32,1850,3600
ETB10,32,1900,3600
ETB10,32,1950,3600
ETB10,32,2000,3600
ETB10,32,2050,3600
ETB10,32,2100,3600
ETB10,32,2150,3600
ETB10,32,2200,3600
ETB10,32,2250,3600
ETB10,32,2300,3600
ETB10,32,2350,3600
ETB10,32,2400,3600
ETB10,32,2450,3600
ETB10,32,2500,3600
ETB10,32,2550,3600
ETB14M,40,50,3600
ETB14M,40,100,3600
ETB14M,40,150,3600
ETB14M,40,200,3600
ETB14M,40,250,3600
ETB14M,40,300,3600
ETB14M,40,350,3600
ETB14M,40,400,3600
ETB14M,40,450,3600
ETB14M,40,500,3600
ETB14M,40,550,3600
ETB14M,40,600,3600
ETB14M,40,650,3600
ETB14M,40,700,3600
ETB14M,40,750,3600
ETB14M,40,800,3600
ETB14M,40,850,3600
ETB14M,40,900,3600
ETB14M,40,950,3600
ETB14M,40,1000,3600
ETB14M,40,1050,3600
ETB14M,40,1100,3600
ETB14M,40,1150,3600
ETB14M,40,1200,3600
ETB14M,40,1250,3600
ETB14M,40,1300,3600
ETB14M,40,1350,3600
ETB14M,40,1400,3600
ETB14M,40,1450,3600
ETB14M,40,1500,3600
ETB14M,40,1550,3600
ETB14M,40,1600,3600
ETB14M,40,1650,3600
ETB14M,40,1700,3600
ETB14M,40,1750,3600
ETB14M,40,1800,3600
ETB14M,40,1850,3600
ETB14M,40,1900,3600
ETB14M,40,1950,3600
ETB14M,40,2000,3600
ETB14M,40,2050,3600
ETB14M,40,2100,3600
ETB14M,40,2150,3600
ETB14M,40,2200,3600
ETB14M,40,2250,3600
ETB14M,40,2300,3600
ETB14M,40,2350,3600
ETB14M,40,2400,3600
ETB14M,40,2450,3600
ETB14M,40,2500,3600
ETB14M,40,2550,3600
ETB14M,40,2600,3600
ETB14M,40,2650,3600
ETB14M,40,2700,3600
ETB14M,40,2750,3600
ETB14M,40,2800,3600
ETB14M,40,2850,3600
ETB14M,40,2900,3600
ETB14M,40,2950,3600
ETB14M,40,3600,3600
ETB14M,40,3050,3600
ETB17M,40,50,3600
ETB17M,40,100,3600
ETB17M,40,150,3600
ETB17M,40,200,3600
ETB17M,40,250,3600
ETB17M,40,300,3600
ETB17M,40,350,3600
ETB17M,40,400,3600
ETB17M,40,450,3600
ETB17M,40,500,3600
ETB17M,40,550,3600
ETB17M,40,600,3600
ETB17M,40,650,3600
ETB17M,40,700,3600
ETB17M,40,750,3600
ETB17M,40,800,3600
ETB17M,40,850,3600
ETB17M,40,900,3600
ETB17M,40,950,3600
ETB17M,40,1000,3600
ETB17M,40,1050,3600
ETB17M,40,1100,3600
ETB17M,40,1150,3600
ETB17M,40,1200,3600
ETB17M,40,1250,3600
ETB17M,40,1300,3600
ETB17M,40,1350,3600
ETB17M,40,1400,3600
ETB17M,40,1450,3600
ETB17M,40,1500,3600
ETB17M,40,1550,3600
ETB17M,40,1600,3600
ETB17M,40,1650,3600
ETB17M,40,1700,3600
ETB17M,40,1750,3600
ETB17M,40,1800,3600
ETB17M,40,1850,3600
ETB17M,40,1900,3600
ETB17M,40,1950,3600
ETB17M,40,2000,3600
ETB17M,40,2050,3600
ETB17M,40,2100,3600
ETB17M,40,2150,3600
ETB17M,40,2200,3600
ETB17M,40,2250,3600
ETB17M,40,2300,3600
ETB17M,40,2350,3600
ETB17M,40,2400,3600
ETB17M,40,2450,3600
ETB17M,40,2500,3600
ETB17M,40,2550,3600
ETB17M,40,2600,3600
ETB17M,40,2650,3600
ETB17M,40,2700,3600
ETB17M,40,2750,3600
ETB17M,40,2800,3600
ETB17M,40,2850,3600
ETB17M,40,2900,3600
ETB17M,40,2950,3600
ETB17M,40,3600,3600
ETB17M,40,3050,3600
ETB22M,40,50,3600
ETB22M,40,100,3600
ETB22M,40,150,3600
ETB22M,40,200,3600
ETB22M,40,250,3600
ETB22M,40,300,3600
ETB22M,40,350,3600
ETB22M,40,400,3600
ETB22M,40,450,3600
ETB22M,40,500,3600
ETB22M,40,550,3600
ETB22M,40,600,3600
ETB22M,40,650,3600
ETB22M,40,700,3600
ETB22M,40,750,3600
ETB22M,40,800,3600
ETB22M,40,850,3600
ETB22M,40,900,3600
ETB22M,40,950,3600
ETB22M,40,1000,3600
ETB22M,40,1050,3600
ETB22M,40,1100,3600
ETB22M,40,1150,3600
ETB22M,40,1200,3600
ETB22M,40,1250,3600
ETB22M,40,1300,3600
ETB22M,40,1350,3600
ETB22M,40,1400,3600
ETB22M,40,1450,3600
ETB22M,40,1500,3600
ETB22M,40,1550,3600
ETB22M,40,1600,3600
ETB22M,40,1650,3600
ETB22M,40,1700,3600
ETB22M,40,1750,3600
ETB22M,40,1800,3600
ETB22M,40,1850,3600
ETB22M,40,1900,3600
ETB22M,40,1950,3600
ETB22M,40,2000,3600
ETB22M,40,2050,3600
ETB22M,40,2100,3600
ETB22M,40,2150,3600
ETB22M,40,2200,3600
ETB22M,40,2250,3600
ETB22M,40,2300,3600
ETB22M,40,2350,3600
ETB22M,40,2400,3600
ETB22M,40,2450,3600
ETB22M,40,2500,3600
ETB22M,40,2550,3600
ETB22M,40,2600,3600
ETB22M,40,2650,3600
ETB22M,40,2700,3600
ETB22M,40,2750,3600
ETB22M,40,2800,3600
ETB22M,40,2850,3600
ETB22M,40,2900,3600
ETB22M,40,2950,3600
ETB22M,40,3600,3600
ETB22M,40,3050,3600
ETB22M,40,3100,3600
ETB22M,40,3150,3600
ETB22M,40,3200,3600
ETB22M,40,3250,3600
ETB22M,40,3300,3600
ETB22M,40,3350,3600
ETB22M,40,3400,3600
ETB22M,40,3450,3600
ETB22M,40,3500,3600
MH65,78,100,3000
MH65,78,150,3000
MH65,78,200,3000
MH65,78,250,3000
MH65,78,300,3000
MH65,78,350,3000
MH65,78,400,3000
MH65,78,450,3000
MH65,78,500,3000
MH65,78,550,3000
MH65,78,600,3000
MH65,78,650,3000
MH65,78,700,3000
MH65,78,750,3000
MH65,78,800,3000
MH65,78,850,3000
MH65,78,900,3000
MH65,78,950,3000
MH65,78,1000,3000
MH65,78,1050,3000
MH65,78,1100,3000
MH65,78,1150,3000
MH65,78,1200,3000
MH65,78,1250,3000
MH65,78,1300,3000
MH65,78,1350,3000
MH65,78,1400,3000
MH65,78,1450,3000
MH65,78,1500,3000
MH65,78,1550,3000
MH65,78,1600,3000
MH65,78,1650,3000
MH65,78,1700,3000
MH65,78,1750,3000
MH65,78,1800,3000
MH65,78,1850,3000
MH65,78,1900,3000
MH65,78,1950,3000
MH65,78,2000,3000
MH65,78,2050,3000
MH65,78,2100,3000
MH65,78,2150,3000
MH65,78,2200,3000
MH65,78,2250,3000
MH65,78,2300,3000
MH65,78,2350,3000
MH65,78,2400,3000
MH65,78,2450,3000
MH65,78,2500,3000
MH65,78,2550,3000
MH65,78,2600,3000
MH65,78,2650,3000
MH65,78,2700,3000
MH65,78,2750,3000
MH65,78,2800,3000
MH65,78,2850,3000
MH65,78,2900,3000
MH65,78,2950,3000
MH65,78,3600,3000
MH80,102,100,3000
MH80,102,150,3000
MH80,102,200,3000
MH80,102,250,3000
MH80,102,300,3000
MH80,102,350,3000
MH80,102,400,3000
MH80,102,450,3000
MH80,102,500,3000
MH80,102,550,3000
MH80,102,600,3000
MH80,102,650,3000
MH80,102,700,3000
MH80,102,750,3000
MH80,102,800,3000
MH80,102,850,3000
MH80,102,900,3000
MH80,102,950,3000
MH80,102,1000,3000
MH80,102,1050,3000
MH80,102,1100,3000
MH80,102,1150,3000
MH80,102,1200,3000
MH80,102,1250,3000
MH80,102,1300,3000
MH80,102,1350,3000
MH80,102,1400,3000
MH80,102,1450,3000
MH80,102,1500,3000
MH80,102,1550,3000
MH80,102,1600,3000
MH80,102,1650,3000
